Date,Open,High,Low,Close,Adj Close,Volume
2018-11-27,4.91,4.95,4.68,4.91,4.91,9050190
2018-11-28,4.9,5.47,4.9,5.34,5.34,15392800
2018-11-29,5.35,5.6,5.15,5.35,5.35,13027940
2018-11-30,5.37,5.43,4.95,5.08,5.08,10699024
2018-12-01,5.09,5.42,5.01,5.29,5.29,12291155
2018-12-02,5.27,5.43,5.2,5.25,5.25,11848313
2018-12-03,5.25,5.28,5.0,5.11,5.11,12193045
2018-12-04,5.11,6.29,5.11,5.88,5.88,39059359
2018-12-05,5.92,6.59,5.78,5.98,5.98,61589926
2018-12-06,6.01,6.06,4.95,4.95,4.95,38404207
2018-12-07,4.92,4.96,4.19,4.53,4.53,24895395
2018-12-08,4.53,4.81,4.38,4.7,4.7,16534323
2018-12-09,4.71,5.05,4.62,4.86,4.86,17862646
2018-12-10,4.85,5.0,4.59,4.71,4.71,13851408
2018-12-11,4.71,4.97,4.59,4.94,4.94,19625570
2018-12-12,4.94,5.18,4.83,5.02,5.02,17783397
2018-12-13,5.03,5.03,4.59,4.65,4.65,14503435
2018-12-14,4.65,4.75,4.46,4.53,4.53,13544913
2018-12-15,4.53,4.64,4.48,4.56,4.56,12572161
2018-12-16,4.57,4.73,4.54,4.65,4.65,14565932
2018-12-17,4.65,5.16,4.64,5.11,5.11,17799305
2018-12-18,5.11,5.6,4.98,5.6,5.6,26195539
2018-12-19,5.61,5.89,5.4,5.49,5.49,25173916
2018-12-20,5.47,5.92,5.37,5.79,5.79,27976597
2018-12-21,5.79,5.87,5.45,5.57,5.57,24440098
2018-12-22,5.56,5.95,5.5,5.93,5.93,28188479
2018-12-23,5.93,6.21,5.9,6.06,6.06,29722800
2018-12-24,6.06,6.58,6.06,6.14,6.14,30471526
2018-12-25,6.19,6.19,5.46,5.55,5.55,19913983
2018-12-26,5.55,5.77,5.53,5.71,5.71,19526927
2018-12-27,5.72,5.75,5.25,5.28,5.28,16073455
2018-12-28,5.29,6.02,5.25,6.01,6.01,23929897
2018-12-29,6.03,6.1,5.83,5.83,5.83,20325768
2018-12-30,5.84,6.01,5.77,6.0,6.0,21109984
2018-12-31,6.0,6.33,5.97,6.16,6.16,38216014
2019-01-01,6.19,6.19,5.89,6.08,6.08,23891162
2019-01-02,6.09,6.21,5.95,6.19,6.19,30308610
2019-01-03,6.17,6.18,5.9,5.9,5.9,22821639
2019-01-04,5.9,6.07,5.86,6.07,6.07,29311136
2019-01-05,6.06,6.2,6.03,6.07,6.07,30340637
2019-01-06,6.07,6.5,6.03,6.4,6.4,41574183
2019-01-07,6.43,6.43,6.23,6.29,6.29,37914513
2019-01-08,6.3,6.91,6.24,6.64,6.64,65660517
2019-01-09,6.66,6.97,6.47,6.64,6.64,74676974
2019-01-10,6.61,6.68,5.8,5.92,5.92,75844882
2019-01-11,5.97,6.24,5.84,6.08,6.08,50239804
2019-01-12,6.09,6.09,5.93,5.98,5.98,32654874
2019-01-13,5.97,6.0,5.49,5.57,5.57,26590183
2019-01-14,5.58,6.16,5.57,6.16,6.16,43109288
2019-01-15,6.16,6.16,5.82,5.92,5.92,25427436
2019-01-16,5.92,6.25,5.9,6.19,6.19,35059223
2019-01-17,6.17,6.42,6.08,6.42,6.42,36306127
2019-01-18,6.41,6.69,6.34,6.56,6.56,43105423
2019-01-19,6.57,6.73,6.36,6.64,6.64,46981638
2019-01-20,6.65,6.73,6.38,6.49,6.49,49479090
2019-01-21,6.51,6.58,6.42,6.55,6.55,36321046
2019-01-22,6.54,6.57,6.38,6.52,6.52,31986617
2019-01-23,6.53,6.57,6.44,6.54,6.54,33083575
2019-01-24,6.53,6.54,6.47,6.51,6.51,26614401
2019-01-25,6.51,6.8,6.51,6.74,6.74,43731936
2019-01-26,6.75,7.04,6.69,7.01,7.01,48498979
2019-01-27,7.0,7.25,6.86,7.09,7.09,52872347
2019-01-28,7.09,7.19,6.11,6.21,6.21,82427200
2019-01-29,6.22,6.31,6.06,6.18,6.18,49291811
2019-01-30,6.17,6.22,6.06,6.17,6.17,41310644
